station,network,st_lat,st_lon,st_ele,mean_SNR_0,n_data,dt,phi,dt_error,phi_error,SC_fast,SC_lag,CC_fast,CC_lag
A072A,Z3,49.4683,13.1735,495.0,2.33946804501,198,1.14918262154,104.223646912,0.060981647719,3.78454384839,143.9,2.9,110.3,1.35
MYKA,OE,46.6299,13.6416,909.0,2.78810324787,120,1.48689032356,94.5515499762,0.065295108572,1.29284680638,137.9,0.91,68.0,0.72
A312A,Z3,45.10738,10.481657,30.0,6.34177290379,68,3.0,173.912372345,2.60293906602,5.20105289911,26.7,1.62,8.9,1.82
CAVE,IV,44.8658,11.0031,18.0,4.20037110098,52,1.13575563204,178.392501211,0.0128491500266,0.328773680503,19.9,1.56,170.2,1.97
PII,IV,43.72193,10.52495,66.0,1.98722742422,61,2.00176417114,139.409908098,0.0836560383024,0.740359010762,81.4,1.96,76.8,1.26
A358A,Z3,48.8697,13.1943,738.0,2.50303481874,50,3.0,83.3056868695,2.20923938192,13.3200760029,124.5,2.05,103.7,2.61
OPPE,IV,45.3082,11.1724,20.0,6.20553935124,60,1.43769194302,170.622088356,inf,inf,104.05,1.45,94.05,3.05
A062A,Z3,46.1808,9.1126,1733.2,8.08641575673,45,2.60328775929,41.2625780618,0.0179051666058,0.0864868659782,28.4,0.53,14.3,0.51
AVR,MT,44.9558,5.65306,870.5,20.8148704041,70,0.836723575423,159.102649539,0.0292170810637,1.91035643749,104.3,2.77,134.1,1.25
A360A,Z3,48.728855,10.296985,636.0,3.00021416225,38,1.45165000595,69.9829890821,0.0178682926529,0.585668658622,116.4,1.81,56.5,1.48
A143A,Z3,47.683648,11.003359,914.0,4.41283054541,160,1.09062756844,54.0958766503,0.0658479675235,2.19865099108,18.2,1.72,47.5,2.86
A193A,Z3,44.3712,5.14762,390.0,2.82794040664,111,1.2219217337,123.308809429,0.142683820536,3.78192968849,143.2,1.76,158.1,0.53
A366A,Z3,47.833268,10.62346,801.0,3.42906093685,65,3.0,29.1217535984,0.327324141512,1.79699856309,69.5,1.62,69.5,1.03
A368A,Z3,49.125931,10.546854,496.0,3.73851555749,65,1.66213152276,80.3306063379,0.088394916636,2.23734438822,39.1,1.43,70.7,1.41
SOKA,OE,46.678,15.0327,1008.5,3.81548954278,95,1.07302730154,90.8020941067,0.0963202804244,2.71723810727,142.6,1.46,120.8,0.83
A369A,Z3,49.116137,11.021613,497.0,4.18326340234,120,1.08094250414,66.5590386473,0.0559001513604,2.25051857003,46.5,1.48,48.1,1.02
