,azimuthal_amplitude,azimuthal_amplitude_good,azimuthal_amplitude_good2,chi2,chi2_alt,complexity,complexity2,dip,dip2,dt,dt_error,linearity,linearity2,n_data,network,p_val,phi,phi_error,red_chi2,rsquared,st_lat,st_lon,standard_error,station,variance_ratio,left_or_right
400,"[array([ 0.19273778,  0.05743738,  0.06155514,  0.09154616,  0.26241724,
        0.27030126,  0.07634722,  0.31712615,  0.0269678 ,  0.21113333])]","[array([ 0.58481585,  0.13396032,  0.25712967,  0.16035523,  0.66410053,
        0.62303902,  0.15398378,  0.93021734,  0.14844964,  0.77482725])]","[array([ 0.33549362,  0.89768044,  0.15030269,  0.38560607])]",27.5997706143,282.330406139,0.16035523002000002,0.267954381987,0.133960315724,0.335493619743,1.28207224839,0.045179892785900004,0.257129666659,0.897680440026,163.0,OX,1.4820033791799999e-08,88.4616788991,1.10740992454,0.17142714667199999,0.8567455439139999,46.233999999999995,13.2438,-0.284144149886,BAD,2.2575509701400005,1.0
401,"[array([ 0.13253029,  0.23840169,  0.26834891,  0.08553483,  0.47189174,
        0.4796796 ,  0.01775433,  0.46515682,  0.34881945,  0.16609272])]","[array([ 1.67192793,  0.15298458,  1.51023343,  0.74505968,  0.77365027,
        1.38087988,  0.32569691,  1.25047994,  0.73884402,  0.61079749])]","[array([ 0.0463611 ,  1.08250854,  0.51380775,  0.31185844])]",6.57038642346,34.0025376978,0.745059683296,0.412833095805,0.152984582157,0.0463610969208,1.4361362974399998,0.0621013812871,1.51023343464,1.0825085353200001,58.0,Z3,0.993332852703,48.535831489799996,1.30198365362,0.11732832899000001,0.777091746565,47.83542,7.725810000000001,1.18881065079,A121A,1.5266013331900001,-1.0
402,"[array([ 0.10122008,  0.11356401,  0.28467855,  0.00843502,  0.12286878,
        0.42381966,  0.27237169,  0.36738267,  0.10978204,  0.24788404])]","[array([ 0.0014535 ,  0.01732837,  0.79461546,  0.02188734,  0.71132023,
        0.70741   ,  0.09753102,  0.46353167,  0.35637566,  0.23918176])]","[array([ 0.02236209,  0.55952548,  0.07849558,  0.28357564])]",22.5203711297,127.36174357899999,0.0218873434523,0.181035608701,0.017328371670799998,0.0223620891853,1.0365730614700002,0.0682551068612,0.7946154567829999,0.559525475803,98.0,Z3,0.021007647442900002,159.889787184,1.96630914474,0.234587199268,0.708855160117,44.891999999999996,4.4516,0.309431525453,A184A,1.12879748179,-1.0
403,"[array([ 0.57152623,  0.26077136,  0.50017017,  0.25919363,  0.4153316 ,
        0.41814181,  0.14973683,  0.08651753,  0.13940785,  0.3207114 ])]","[array([ 1.71885474,  0.4368215 ,  1.14429734,  1.08645209,  0.85349929,
        1.01952375,  0.9116592 ,  0.47203949,  0.1865068 ,  1.35624418])]","[array([ 1.43206462,  1.57818978,  1.48133053,  0.62309279])]",45.509871342299995,1660.89512752,1.08645208563,1.0522116584799999,0.43682149852200003,1.4320646228999998,2.0985759919299998,0.0845716694847,1.1442973351899999,1.5781897789500001,149.0,Z3,6.927604356529996e-254,11.520153855,0.862778533742,0.309590961512,0.675982095791,45.016739,12.033501,1.9793323206,A304A,4.33642573169,1.0
404,"[array([ 0.39352192,  0.21577428,  0.65092448,  0.28932316,  0.56971936,
        0.56546664,  0.22004199,  0.53747689,  0.04775331,  0.11699216])]","[array([ 0.35230576,  0.21352183,  0.93372785,  0.34439417,  0.94466729,
        0.86724512,  0.16129426,  0.96191304,  0.29632491,  0.10429054])]","[array([ 0.12997954,  0.89957366,  0.06144091,  0.54207834])]",63.7029699188,699.544177109,0.344394167815,0.301759622883,0.213521834236,0.12997954035999998,1.38374778822,0.0335799905369,0.9337278536700001,0.899573656777,348.0,OX,5.541822290059999e-26,65.192278557,0.654428479079,0.18411262982299997,0.8285053583230001,46.1495,12.6154,1.35652619888,MLN,2.46462340814,1.0
405,"[array([ 0.94963547,  0.15242962,  0.33527388,  0.0315477 ,  0.07468927,
        0.0643429 ,  0.31713205,  0.02169562,  0.29813396,  0.36037248])]","[array([ 1.66297155,  0.32575058,  0.49022048,  0.09790826,  0.30528455,
        0.16389225,  0.57560349,  0.08490415,  0.65842263,  0.82670658])]","[array([ 0.18398197,  0.77668494,  0.14470026,  0.22240976])]",45.8400686292,587.698755383,0.09790826280060001,0.18355501196,0.32575057974599997,0.18398197075300002,1.169212435,0.044943390495,0.490220481456,0.776684944651,220.0,Z3,1.70941723097e-35,1.1101634065600001,1.2630610096400001,0.210275544171,0.0776292685847,46.3296,6.6808,0.756970921902,A173A,2.22225436607,-1.0
406,"[array([ 0.4769306 ,  0.2229337 ,  0.18930423,  0.40984918,  0.07527373,
        0.0174429 ,  0.28519938,  0.06345345,  0.13263629,  0.25145792])]","[array([ 1.07385236,  0.50609988,  0.75374479,  0.71685211,  0.44913915,
        0.52948648,  0.79487735,  0.10030577,  0.03741862,  0.92108172])]","[array([ 0.24637001,  0.74400446,  0.23856707,  0.46281538])]",28.9214743089,168.764645259,0.716852105251,0.350691224145,0.506099875016,0.246370006959,1.01799754368,0.0558842974472,0.7537447946860001,0.744004460834,140.0,Z3,0.0435453564066,94.4948362316,2.5089860806999997,0.20957590078899999,0.708416565103,43.2413,5.6099,0.121373100195,A204A,1.5793219389500002,-1.0
407,"[array([ 0.19866948,  0.08803562,  0.2982039 ,  0.38968555,  0.07365592,
        0.06948008,  0.14529944,  0.32427461,  0.04446066,  0.11793258])]","[array([ 0.5238349 ,  0.32922883,  0.75081687,  0.80948054,  0.420411  ,
        0.09294832,  0.29110877,  0.19446795,  0.10696447,  0.10428075])]","[array([ 0.16543609,  0.38721657,  0.34266473,  0.17682528])]",27.401760871700002,12767.684825700002,0.809480535878,0.259745004284,0.329228831755,0.16543608567399998,1.1416487393299999,0.0641537250679,0.7508168726019999,0.387216565932,151.0,FR,0.0,140.232267899,1.04659053964,0.18390443538100001,0.6508665619349999,46.3459,4.7522,1.27776749153,OGRV,1.3394265329000001,-1.0
408,"[array([ 0.75514638,  0.29725432,  0.83697851,  0.33244254,  0.07915237,
        0.02429854,  0.11907477,  0.04014772,  0.13342708,  0.03265977])]","[array([ 1.25555075,  0.16840501,  1.25160143,  0.76702673,  0.38728456,
        0.33630944,  0.11053018,  0.18903447,  0.26905986,  0.05752328])]","[array([ 0.0384414 ,  0.64346701,  0.27284612,  0.09419111])]",70.34225345109999,223.548981431,0.767026726557,0.183518613064,0.16840500814399997,0.0384413962203,0.9959980635619999,0.043277035759699996,1.25160143155,0.6434670068980001,249.0,Z3,0.865636652004,133.185007998,1.6913180313999998,0.284786451219,0.463361775621,48.362882,16.594215,0.7319073349349999,A002B,1.31744657371,-1.0
409,"[array([ 0.48683257,  0.00128169,  0.24068279,  0.01270487,  0.03301235,
        0.1000907 ,  0.10286764,  0.03282028,  0.28891359,  0.02865794])]","[array([ 0.92177209,  0.10589273,  0.55715969,  0.30979962,  0.27350139,
        0.44395491,  0.99746255,  0.3938606 ,  1.18145089,  0.12148239])]","[array([ 0.43581105,  0.16304542,  0.46637599,  0.29424925])]",22.095733423400002,16.1051444387,0.309799622501,0.380312617727,0.10589273101800001,0.435811054227,0.580838962751,0.162984594613,0.557159692166,0.163045419659,54.0,Z3,0.999999781821,90.2318080065,7.774161854430001,0.42491795045,0.0702155961767,44.4818,16.5313,0.766061695723,A050A,1.3420694208,1.0
410,"[array([ 0.95149559,  0.13801726,  0.37545847,  0.47231043,  0.1449718 ,
        0.28428041,  0.26515315,  0.02680068,  0.30677588,  0.34241963])]","[array([ 1.66883092,  0.26923509,  0.75283002,  0.85581057,  0.06936042,
        0.52474195,  0.16427411,  0.32416004,  0.43803074,  0.55106354])]","[array([ 0.76725368,  0.84407169,  0.56513241,  0.40046821])]",148.96666945799998,1008.89719002,0.85581057355,0.48280030646399996,0.269235094159,0.767253678126,1.1215045382100002,0.0573173494706,0.7528300201739999,0.8440716891399999,267.0,FR,5.9620263517699985e-87,12.2860837871,2.09133795962,0.562138375314,0.0371687946542,46.0567,6.7561100000000005,0.510381597943,OGSI,1.1252706763299998,-1.0
411,"[array([ 0.31436505,  0.18493666,  0.4504102 ,  0.21493784,  0.26236599,
        0.39069594,  0.11658269,  0.42554772,  0.21248768,  0.00602253])]","[array([ 0.64047032,  0.39196047,  0.95418465,  0.43128821,  0.45985243,
        0.65449779,  0.21927556,  0.83773144,  0.25263586,  0.07794986])]","[array([ 0.18594737,  0.49261107,  0.14350981,  0.2391283 ])]",77.59412340109999,100.098980917,0.43128821371699994,0.191319057145,0.39196047021700003,0.18594737082600002,1.0220082156299999,0.0442652617525,0.9541846502079999,0.492611074653,304.0,BW,1.0,58.095452506899996,1.1722688432500001,0.25693418344700003,0.604278800185,47.979698,11.7188,0.9742374409550001,MGS04,1.05796630485,-1.0
412,"[array([ 0.40617989,  0.07748643,  0.18741382,  0.06621971,  0.27612367,
        0.26034933,  0.35542303,  0.2282107 ,  0.20672281,  0.20535238])]","[array([ 1.60526543,  0.36472101,  0.72865589,  0.69297254,  0.26627199,
        1.03811614,  0.74279286,  0.72223401,  1.02415065,  0.63676869])]","[array([ 0.22528551,  0.87704098,  0.26632415,  0.54048446])]",28.2656816967,231.81069664,0.692972538443,0.403404304841,0.364721014576,0.225285510647,1.2004238308600002,0.0558356737211,0.728655889975,0.8770409810259999,128.0,Z3,3.9853752677399996e-08,98.5530786035,1.66168715694,0.224330807117,0.5018691998470001,48.100198999999996,14.139852,0.397029502486,A024B,0.9554515991760001,-1.0
413,"[array([ 0.71639052,  0.0169288 ,  0.3443019 ,  0.17418102,  0.23014464,
        0.26836445,  0.24622674,  0.42129727,  0.06885772,  0.13949991])]","[array([ 1.10490562,  0.07552936,  0.386568  ,  0.2023049 ,  0.68515757,
        0.57897614,  0.64308806,  0.93985687,  0.30296667,  0.10754674])]","[array([ 0.04933323,  0.90871798,  0.11534892,  0.64886384])]",46.9491181251,163.279958622,0.202304901739,0.38210637717699997,0.07552936250089999,0.04933323341109999,1.3117678432700002,0.0511310052587,0.38656799509499995,0.908717983872,205.0,SL,0.9836053616949999,88.010628036,1.1812777146200002,0.231276443966,0.7195497878239999,46.3174,13.9999,0.153882017629,GORS,2.72998308476,1.0
414,"[array([ 0.38197502,  0.05032853,  0.33392475,  0.23069949,  0.05755232,
        0.26930716,  0.2107905 ,  0.01837762,  0.09164823,  0.21644539])]","[array([ 1.46155085,  0.15324248,  0.76840153,  0.12200646,  0.32868615,
        0.43016569,  0.59253078,  0.59577752,  0.13745113,  0.23273616])]","[array([ 0.01386884,  0.56910736,  0.04395971,  0.42441358])]",6.75997033288,62.7876075726,0.12200645512599999,0.234186644893,0.153242479046,0.0138688449889,0.9020346579799999,0.0320388922557,0.768401527377,0.56910736318,103.0,SL,0.999205085934,103.949964333,1.5522155770100001,0.0669303993354,0.510452899925,46.6365,15.1139,-0.07127158549889999,PERS,1.8612288548,1.0
415,"[array([ 0.23042959,  0.10719406,  0.27775027,  0.04828458,  0.45726212,
        0.09850783,  0.0935231 ,  0.21689145,  0.0457148 ,  0.02468399])]","[array([ 1.19458462,  0.1589028 ,  1.20429966,  0.06462757,  0.69852406,
        0.0967348 ,  0.02917603,  0.10193607,  0.09222437,  0.50807456])]","[array([ 0.04397737,  0.58864284,  0.03206422,  0.65260357])]",25.616287355500003,30.732446651100002,0.0646275739878,0.342333893399,0.158902798553,0.0439773665557,1.0187676358700002,0.0991999069083,1.20429965737,0.588642842325,73.0,Z3,0.999994985395,131.574612963,3.19310523078,0.36079277965499995,0.456553927623,46.94631,18.482029999999998,0.626072636911,A267A,1.1652381273899999,1.0
416,"[array([ 0.57529173,  0.17429167,  0.28273337,  0.14652316,  0.30955523,
        0.33704295,  0.53062374,  0.31335291,  0.02392527,  0.32866808])]","[array([ 0.97926397,  0.51485492,  0.46583281,  0.70580849,  0.40546206,
        0.67181787,  0.1825596 ,  0.41141485,  1.02557856,  0.98310126])]","[array([ 0.49786509,  0.32782297,  0.51428625,  0.3580126 ])]",38.5983572804,35.4350870349,0.705808486974,0.436149424202,0.514854923719,0.49786509455300004,0.783144641964,0.13475781722000002,0.465832806797,0.327822974806,70.0,Z3,0.999734134676,6.54585719332,5.28234698674,0.567622901183,-0.0524516301424,44.959236,12.432347,0.204250554126,A305A,0.870014636464,1.0
417,"[array([ 0.30916651,  0.00787429,  0.12859794,  0.08858503,  0.21909701,
        0.29810634,  0.01161104,  0.29993098,  0.13462279,  0.12795851])]","[array([ 0.33700323,  0.03148413,  0.41754846,  0.34326825,  0.34924299,
        0.25260436,  0.1988085 ,  0.23048241,  0.11957979,  0.01205593])]","[array([ 0.09769827,  0.34469001,  0.20878932,  0.21612702])]",58.756470813,62.361237740600004,0.343268249766,0.21245817210700002,0.0314841337465,0.09769827318610001,1.05113067513,0.11442220627000001,0.417548461008,0.344690012397,150.0,SL,0.999999999966,83.6602652691,2.09991029653,0.39700318116899996,0.480496445066,46.0438,14.5278,1.15560241622,LJU,1.11926741645,1.0
