CC_fast,CC_lag,SC_fast,SC_lag,dt,dt_error,mean_SNR_0,n_data,network,phi,phi_error,st_ele,st_lat,st_lon,station
18.9,0.65,35.3,3.05,1.24516337435,0.0887018601518,4.97982909094,69,SI,49.9859824913,2.16899318613,1604.0,46.463,11.3778,KOSI
105.5,2.99,39.0,2.95,1.98717334869,0.0736313323676,6.75242886598,78,Z3,89.8086277861,1.91418351155,1050.0,46.90914,13.07875,A034A
75.3,2.87,117.5,2.88,0.897952535756,0.0595980281985,inf,120,Z3,95.2720978927,2.42708555602,587.0,48.46082,14.07072,A023A
160.9,0.53,19.6,1.88,1.3001414908,0.142399371752,18.893777135,167,Z3,108.740281706,3.60676296388,430.0,49.7049,16.8893,A087A
110.2,0.53,75.7,1.67,2.59579547863,0.588462674608,8.12963400555,84,Z3,84.8322232126,4.31000734236,391.0,49.8528,16.1457,A086A
117.8,0.45,115.5,0.52,0.931229879922,0.0750030859247,21.7495169974,178,Z3,97.6797405304,3.36135162926,117.0,48.244305,17.789761,A337A
131.9,0.55,78.6,2.37,0.708349107325,0.161023317709,7.20835514014,210,Z3,83.0569549001,6.45916553089,500.0,48.93337,14.99364,A015A
10.5,1.83,38.8,1.29,3.0,0.700907199925,6.9115770919,88,Z3,1.52692455232,5.42033059638,110.0,47.829403,17.655876,A339A
69.0,1.03,98.6,2.95,1.51299127604,0.0706278163238,5.76868865495,102,SI,88.0562808367,1.96238256508,1785.0,46.948,12.0787,RISI
63.2,0.72,62.3,0.91,1.31657240256,0.0938551122169,8.18691951247,205,OE,59.4634695022,2.33518917827,1632.0,47.0211,10.7291,FETA
98.0,0.9,155.8,0.91,1.56183444456,0.111220252518,6.07940557393,160,OE,92.2400011517,1.90585086815,1721.0,47.0784,13.3447,KBA
123.9,0.85,166.1,2.62,1.21916938696,0.242646758292,10.2609484931,127,Z3,139.053456392,5.21003332156,502.0,49.684,14.9288,A080A
62.3,1.68,62.2,2.9,1.77578233795,0.0647667041902,10.0799538468,187,OE,56.509748371,1.2675937881,1602.0,47.2867,9.8803,DAVA
100.6,0.47,18.2,0.96,0.886368168315,0.0345930924517,6.15467697999,146,OE,119.268136078,1.77381150274,1046.0,47.9282,15.8618,CONA
91.5,0.79,131.5,1.3,1.32880565866,0.0674320248304,6.00826615339,182,OE,97.0468122073,2.14551549103,1074.7,46.5092,14.5489,OBKA
88.5,1.48,95.8,1.27,1.80949681548,0.1436127092,6.41199864889,143,Z3,42.7701352831,2.3006116582,1652.0,47.1968,12.720905,A035A
78.3,1.21,32.0,1.31,1.48634756082,0.0758983549094,7.95491781724,120,Z3,89.2140622182,1.46998002454,366.0,48.42719,13.49746,A031A
69.0,0.23,36.2,1.1,1.69130768324,0.293734474451,12.414943435,129,Z3,125.780596519,2.73967640949,438.0,49.2288,14.7074,A079A
59.3,1.79,96.7,1.82,1.79190546876,0.0854775514571,7.58902906493,173,OE,74.750183761,2.16275022375,1041.0,46.7474,12.5123,ABTA
34.5,0.53,7.6,1.92,1.28884296938,0.096784485505,9.35330946426,241,OE,57.9103866978,2.03559767191,1575.0,47.3448,11.1037,MOTA
51.0,2.05,109.8,2.97,1.97672247865,0.143983904598,10.2607601243,70,Z3,87.4054479718,4.26300068888,390.0,46.948445,15.299396,A020A
